china_pred,nigeria_pred,sa_pred,yemen_pred,china_r2,nigeria_r2,sa_r2,yemen_r2,china_rmse,nigeria_rmse,sa_rmse,yemen_rmse
0.46949062,0.26068592,-0.4294341,0.25490403,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.041159336,0.12190362,-0.33788168,0.2271785,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.102129675,0.016585171,-0.4219174,0.3327034,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.12252553,-0.44488937,-0.48012924,0.26651555,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.15089765,-0.78468126,-0.50149345,0.23524225,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.19264567,-0.8472568,-0.4392765,0.29688197,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.21093324,-0.8497871,-0.427093,0.23229925,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.20874271,-0.9263355,-0.40044695,0.20660034,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.22832271,-0.9341793,-0.25250745,0.29233974,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.42386812,-0.9119596,-0.25591797,0.28357992,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.6081215,-0.9328687,-0.24509123,0.2914245,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.5137625,-0.930795,-0.20174572,0.36558482,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.27729142,-0.93172157,-0.22957073,0.24563956,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.071638405,-0.93456966,-0.21751775,0.19726154,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.09676172,-0.9373606,-0.08694968,0.26941568,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.18450445,-0.945918,-0.065922424,0.19566214,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.16251004,-0.93648267,-0.14968212,0.1458104,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.17749733,-0.92467797,0.10985803,0.25417456,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.21520777,-0.92629224,0.03685633,0.25485206,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.17475086,-0.9145457,-0.0227978,0.23810671,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.45926914,-0.865067,0.038032513,0.31719857,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.46265778,-0.83437693,-0.045112327,0.2228659,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.40886045,-0.8263917,-0.1545688,0.2048628,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.5389879,-0.7240536,0.05697767,0.2837118,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.67835885,-0.45811957,-0.10305932,0.20023695,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.68517184,-0.47335404,-0.16956739,0.14806367,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.6811484,-0.38902688,-0.10700631,0.203499,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.6402272,-0.16478798,-0.12837805,0.10767291,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.6383907,-0.14933027,-0.2525877,0.09873177,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.6436622,-0.009544373,-0.17776075,0.1971896,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.3784516,0.15276879,-0.3190193,0.20919827,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.43575332,0.2340666,-0.4268708,0.2113429,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.4199093,0.29448587,-0.35844198,0.31480116,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.3674042,0.30272326,-0.40331414,0.25028026,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.30688792,0.32897097,-0.41544303,0.22423811,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.26942527,0.34142783,-0.18283871,0.3157102,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.008423939,0.15799394,-0.3524269,0.26595634,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.20743263,0.1389935,-0.38100624,0.2365156,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.13218558,0.030228876,-0.42588228,0.32897067,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.17318702,-0.4171467,-0.50510657,0.2640702,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.18489626,-0.72788507,-0.39891848,0.24463932,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.2414397,-0.8412357,-0.30681157,0.30543172,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.18486643,-0.83339936,-0.34737214,0.24303347,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.4122942,-0.9335317,-0.2179119,0.21950625,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.32941678,-0.9351875,-0.19629411,0.28887707,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.26815942,-0.89773524,-0.1361239,0.24572046,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.362326,-0.93956596,-0.17233588,0.23290354,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.45650923,-0.9412738,-0.12897128,0.33922276,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.18564641,-0.9280046,-0.14457946,0.2575664,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.2168198,-0.9391125,-0.19089188,0.22143957,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.24330989,-0.9408875,-0.09647816,0.25364178,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.11870265,-0.941381,-0.025852717,0.18122719,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.080517896,-0.9281983,0.071597524,0.13650882,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.10982907,-0.9233438,0.1719529,0.24659175,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.058933385,-0.91958827,0.09021358,0.22278793,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.23177615,-0.9063027,-0.05721866,0.19835213,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.3537296,-0.8530764,-0.022249162,0.274385,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.38128653,-0.807718,-0.011001481,0.22660159,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.4844009,-0.79520994,-0.09768302,0.22463611,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.53071475,-0.72287476,0.022687592,0.34202924,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.63318026,-0.4376463,-0.052871518,0.2452022,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.6804172,-0.5031994,-0.07245265,0.21871585,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
